indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1971,1131095541.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1970,1101240545.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1969,1071912603.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1968,1043349620.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1967,1016529846.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1966,990719244.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1965,964163938.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1964,940909509.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1963,918259043.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1962,895224912.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1961,883558197.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1960,884252517.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2025,,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2024,351161936.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2023,349762722.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2022,348200155.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2021,347207191.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2020,346986142.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2019,346496601.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2018,345864630.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2017,344810179.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2016,344132977.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2015,343180482.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2014,342228563.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2013,341639530.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2012,341100659.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2011,340367367.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2010,341002804.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2009,340136844.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2008,338978475.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2007,337282985.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2006,335499702.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2005,333897752.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2004,332140117.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2003,330286340.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2002,328469678.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2001,326861195.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2000,325789631.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1999,324781951.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1998,323976358.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1997,323306275.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1996,322568383.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1995,321808185.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1994,321024031.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1993,320053176.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1992,318742973.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1991,317407910.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1990,316087007.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1989,314634075.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1988,313272522.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1987,312223048.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1986,311372728.0,,,0
