indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,1962,1059216594.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,1961,1044749888.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,1960,1042818620.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2025,,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2024,2141122258.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2023,2137527754.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2022,2133560408.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2021,2128553744.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2020,2121866294.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2019,2112289891.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2018,2100698838.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2017,2087238522.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2016,2071486140.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2015,2056050896.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2014,2040383789.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2013,2023850158.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2012,2006566431.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2011,1989106668.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2010,1973602166.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2009,1959017463.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2008,1944305887.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2007,1929185103.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2006,1914002124.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2005,1898853723.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2004,1883675167.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2003,1868409996.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2002,1852659155.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2001,1836260943.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2000,1819011507.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1999,1800932833.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1998,1781546477.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1997,1760512371.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1996,1738632397.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1995,1716602413.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1994,1694244506.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1993,1671604370.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1992,1648872786.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1991,1625498444.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1990,1600739173.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1989,1575101307.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1988,1549038591.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1987,1522374575.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1986,1496124294.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1985,1471340337.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1984,1447871073.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1983,1424971585.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1982,1401081634.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1981,1377473854.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1980,1356226475.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1979,1335637622.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1978,1314775496.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1977,1294303118.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1976,1273922384.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1975,1252174248.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1974,1228688547.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1973,1202715705.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1972,1175176176.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1971,1146649477.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1970,1116395242.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1969,1086662478.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1968,1057697808.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1967,1030471073.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1966,1004271490.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1965,977366928.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1964,953783472.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1963,930810837.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1962,907473022.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1961,895534581.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,1960,895961535.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2025,,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2024,2114653077.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2023,2111139152.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2022,2107261123.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2021,2102350702.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2020,2095759417.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2019,2086281644.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2018,2074796982.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2017,2061449949.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2016,2045816761.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2015,2030504270.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2014,2014960984.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2013,1998548872.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2012,1981382735.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2011,1964036970.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2010,1948643347.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2009,1934167856.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2008,1919570287.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2007,1904568042.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2006,1889507244.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2005,1874487158.0,,,0
